SummaryID,MechanismClass,Rows,V3ImprovesOverK1Rows,V3ImprovesOverV2Rows,SumK1Chi2,SumV3Chi2,MeanDeltaChi2V3MinusK1,MaxV3ContributionRank,DeltaChi2V3MinusK1,CurrentStatus,PrimaryResidualMechanisms,MeasurementValidationAllowed,ClaimBoundary,WorstGridIndex,RequiredNextCheck
A2_V3_RESIDUAL_MECHANISM_OVERVIEW,ALL_ROWS,8,1,1,13.451337503134189,14.442382916318785,0.12388067664807427,1,0.9910454131845942,A2_V3_NOT_SUPPORTIVE_AGAINST_K1,common_mode_baseline_misalignment;k1_null_degeneracy;active_memory_overshoot,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_BY_CLASS,ACTIVE_MEMORY_OVERSHOOT,2,0,0,0.009361648710151878,0.7943419634064539,0.392490157348151,4,0.784980314696302,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_BY_CLASS,COMMON_MODE_BASELINE_MISALIGNMENT,1,0,0,7.604070263737847,7.604070263737847,0.0,1,0.0,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_BY_CLASS,K1_NULL_DEGENERACY,1,0,0,4.831215540480161,4.831215540480161,0.0,2,0.0,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_BY_CLASS,LOW_DEPTH_WEAK_RESPONSE,2,0,0,0.5873828778492106,0.5873828778492106,0.0,5,0.0,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_BY_CLASS,SIGN_UNSTABLE_PARTIAL_RECOVERY,2,1,1,0.41930717235681975,0.6253722708451118,0.10303254924414607,3,0.20606509848829208,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,,
A2_V3_RESIDUAL_MECHANISM_WORST_ROWS,COMMON_MODE_BASELINE_MISALIGNMENT,1,0,0,7.604070263737847,7.604070263737847,0.0,1,0.0,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,2.0,requires coordinate/native common-mode baseline audit before A2 can decide this row
A2_V3_RESIDUAL_MECHANISM_WORST_ROWS,K1_NULL_DEGENERACY,1,0,0,4.831215540480161,4.831215540480161,0.0,2,0.0,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,3.0,do not invent sign from A2; require independent K1/source-branch export
A2_V3_RESIDUAL_MECHANISM_WORST_ROWS,SIGN_UNSTABLE_PARTIAL_RECOVERY,1,0,0,0.11333543774775832,0.6131473791975685,0.4998119414498101,3,0.4998119414498101,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,8.0,"treat as supportive for bounded memory, not as A_tau=2 measurement"
A2_V3_RESIDUAL_MECHANISM_WORST_ROWS,ACTIVE_MEMORY_OVERSHOOT,1,0,0,0.0052033408432295885,0.5337098147816132,0.5285064739383836,4,0.5285064739383836,,,False,a2_v3_residual_mechanism_audit_no_measurement_validation,5.0,"test whether covariance/source-branch normalization, not A_tau refit, explains the scale"
