EvidenceID,Category,InputArtifact,MainResult,SupportsA2,WeakensA2,Status,NextAction,ClaimBoundary
LOCK_READINESS,lock_contract,evidence/k2_a2_prediction_lock_readiness.csv,11/11 lock checks passed,true,false,locked,Use only as frozen prediction candidate,locked_prediction_candidate_no_measurement_validation
POINTWISE_BENCHMARK,scorecard,evidence/source_split_a2_prior_benchmark.csv,A2 best in all tracked subsets versus K1 and unit K2,true,false,preflight_support,Retest only on external target/source family,a2_prior_benchmark_preflight_no_measurement_validation
LEAVE_ONE_OUT,stress_test,evidence/source_split_a2_leave_one_out.csv,A2 wins 8/8 leave-one-out folds,true,false,preflight_support,Repeat under full likelihood-native source split,a2_stress_preflight_no_measurement_validation
MID_DEPTH_DROP_STRESS,stress_test,evidence/source_split_a2_leave_one_out.csv,A2 wins 3/3 when dropping mid-depth rows,true,false,preflight_support,Keep mid-depth as transitional regime,a2_stress_preflight_no_measurement_validation
DEPTH_TRANSITION,structure,evidence/source_split_a2_depth_transition.csv,A2 amplitude recovery increases low<mid<high: 0.12<0.56<0.95,true,false,preflight_support,Check monotonic transition on new binning,a2_stress_preflight_no_measurement_validation
ANTI_ALIGNMENT_CONDITIONING,mechanism,evidence/source_split_a2_antialignment_conditioned.csv,A2 stronger on anti-aligned mid/high rows than non-anti-aligned rows,true,false,preflight_support,Require branch-sign rule in public likelihood-native benchmark,a2_stress_preflight_no_measurement_validation
RECONSTRUCTION_FAMILY_BRANCH,externalized_preflight,evidence/k2_a2_reconstruction_family_summary.csv,A2 best in all tracked reconstruction-family branch subsets,true,false,preflight_support,Replace branch family with independent reconstruction family,reconstruction_family_preflight_no_measurement_validation
REBINNING_STRESS,robustness,evidence/k2_a2_rebinning_stress_summary.csv,A2 best under depth/pairwise/memory-active/anti-aligned rebin schemes,true,false,preflight_support,Repeat with independently chosen public binning,rebinning_stress_preflight_no_measurement_validation
PUBLIC_COVARIANCE_PROXY,covariance_proxy,evidence/k2_a2_public_covariance_proxy_summary.csv,A2 improves over K1 and unit K2 but does not beat POLY_DEG2,true,true,mixed_support,Move to full covariance-native benchmark or frozen null CV,a2_public_covariance_proxy_no_measurement_validation
POLYNOMIAL_CV,control_stress,evidence/k2_a2_polynomial_cv_summary.csv,POLY_DEG2 beats A2 only in public-proxy LOO; A2 beats polynomials in blocked and branch-scatter routes,true,true,mixed_support,Use blocked/out-of-sample emphasis and freeze polynomial controls,a2_polynomial_cv_no_measurement_validation
FULL_LIKELIHOOD_GATE,required_next_gate,not_yet_available,Full covariance-native source-split benchmark not yet implemented,false,true,blocked,Implement public SN+BAO likelihood-native transform with cross-covariance rule,no_measurement_validation_until_full_gate
