ProtocolID,FirewallID,FirewallItemID,Satisfied,Requirement,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW1_SOURCE_PREFLIGHT_PASS,True,compact spectral residue source preflight must pass,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW2_SOURCE_OBJECT_HASH_READY,True,source object exists and can be hashed,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW3_SOURCE_SPECTRUM_HASH_READY,True,source spectrum exists and can be hashed,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW4_SOURCE_VALIDATION_PASS,True,source validation must pass,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW5_SCORECARD_SCRIPT_FROZEN,False,scorecard script hash must be frozen,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW6_FOLD_POLICY_FROZEN,False,fold policy must be frozen,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW7_NULL_COMPARATORS_FROZEN,False,null comparator policy must be frozen,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW8_DF_COVARIANCE_POLICY_FROZEN,False,degrees-of-freedom and covariance policy must be frozen,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW9_SURVIVAL_KILL_GATES_FROZEN,False,survival and kill gates must be frozen,False,False,False,compact_spectral_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMPACT_SPECTRAL_SCORING_FIREWALL_v1,CS-FW10_FINAL_MANIFEST_READY,False,final manifest must bind hashes and policies,False,False,False,compact_spectral_scoring_firewall_no_scoring
