Item,Requirement,Status,RequiredBeforeScoring,ScoringAuthorized,ClaimBoundary
ProtocolID,P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,DECLARED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
ContractID,P_TAUCOV_DELTA_C_TAU_CONSTRUCTION_CONTRACT_v1,CONTRACT_ONLY,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
BranchEquation,B_equals_B_star_of_Phi_and_delta_B_star_equals_minus_inverse_LBred_DPhi_FB_deltaPhi,REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
ProjectedMorphology,M_proj_equals_P_morph_M_parent,REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
TauMorphologyResponse,T_tau_equals_DPhi_Mproj_minus_DB_Mproj_inverse_LBred_DPhi_FB,REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
CovarianceResponse,delta_C_Tau_equals_D_M_C_of_T_tau_deltaPhi,REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
AdmissibleInputs,Phi_grid_B_star_rule_LBred_DPhi_FB_P_morph_M_parent_D_M_C,MUST_BE_FROZEN,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
ForbiddenTargets,held_out_residuals_v3_gain_pattern_dominant_family_oos_deltaNLL_signed_diagnostic,HARD_BLOCK,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
OutputMatrix,delta_C_Tau_square_symmetric_indexed_on_frozen_observable_coordinates,FUTURE_REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
OutputNormalization,frobenius_norm_or_trace_norm_frozen_before_branch_support,MUST_BE_FROZEN,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
LeakageAudit,prove_no_target_residual_or_v3_outcome_inputs_used,REQUIRED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
BranchSupportAuthorization,forbidden_until_concrete_delta_C_Tau_hash_and_normalization_are_frozen,NOT_AUTHORIZED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
PTauCovScoringAuthorization,forbidden_by_this_contract,NOT_AUTHORIZED,True,False,delta_c_tau_contract_no_scoring_authorization_no_empirical_claim
