ProtocolID,FreezeID,MatrixID,RowCoordinate,ColumnCoordinate,Value,CoefficientSource,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_PHI_PARENT_SOURCE,TEMPLATE_P_MORPH_PROJECTION,-1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_PHI_PARENT_SOURCE,TEMPLATE_COORD_SCALE_UNIT,1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_PHI_PARENT_SOURCE,TEMPLATE_EXT_OBSERVING_CONTEXT,1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_B_BRANCH_RESPONSE,TEMPLATE_B_BRANCH_RESPONSE,-0.5,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_B_BRANCH_RESPONSE,TEMPLATE_P_MORPH_PROJECTION,-2.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_B_BRANCH_RESPONSE,TEMPLATE_COORD_SCALE_UNIT,1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_P_MORPH_PROJECTION,TEMPLATE_PHI_PARENT_SOURCE,-1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_P_MORPH_PROJECTION,TEMPLATE_B_BRANCH_RESPONSE,-2.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_P_MORPH_PROJECTION,TEMPLATE_COORD_SCALE_UNIT,1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SOURCE_PACKET_v1,ExpandedParentOperatorSource_v1,TEMPLATE_P_MORPH_PROJECTION,TEMPLATE_EXT_OBSERVING_CONTEXT,-1.0,role_declared_parent_operator_normal_form,False,False,False,expanded_parent_operator_source_packet_no_scoring
