ProtocolID,FreezeID,GateID,Requirement,Threshold,ScoringAuthorizedByGate,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G1_PARENT_HESSIAN_SOURCE,L_B_red must be declared as a parent-side reduced Hessian or response operator before any score access.,required,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G2_COMMUTATOR_OBJECT,"The primary object must be based on [L_B_red, P_morph], not on a direct morphology/projection shape.",required,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G3_PROJECTION_ORTHOGONALITY,Projection-null overlap after Pi_perp projection must remain below the frozen threshold.,<=0.50,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G4_MORPHOLOGY_ORTHOGONALITY,Morphology-null overlap after Pi_perp projection must remain below the frozen threshold.,<=0.50,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G5_BALANCE_RETENTION,Pi_bal projection must retain nontrivial norm while removing family/clock nuisance directions.,retention>=0.20 and leakage<1e-10,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G6_FAMILY_BALANCE,No family may dominate pre-score energy or positive capacity.,max_family_energy_share<=0.50,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G7_DIAGONAL_CONTROL,Diagonal energy must be absent or explicitly excluded from the signed statistic.,diagonal_share<=0.10,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G8_ORIENTATION_ANCHOR,A target-blind parent-side orientation anchor J_tau must fix the sign before scoring.,orientation_margin>0,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G9_SIGN_FLIP_NOT_EQUIVALENT,"The sign-flip control must remain an orientation control, not an alternative survival route.",required,False,tccs_protocol_defined_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_PROTOCOL_v1,TCCS-G10_TARGET_BLINDNESS,"No target residuals, score outcomes, P5C gains, or dominant-family identities may enter construction.",required,False,tccs_protocol_defined_no_object_no_scoring
