ProtocolID,FreezeID,GateID,GateName,Requirement,Required,PTauCovScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G1,DELTA_C_TAU_SOURCE_LOCKED,branch_support_from_delta_C_Tau_only,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G2,PRIMARY_ALIGNMENT_POSITIVE,inside_branch_alignment_positive_on_primary_folds,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G3,BEATS_OUTSIDE_BRANCH,inside_branch_alignment_beats_complement,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G4,BEATS_SHUFFLED_SUPPORT,inside_branch_alignment_beats_shuffled_support,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G5,BEATS_MORPHOLOGY_NULL,tau_response_beats_morphology_null,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G6,BEATS_PROJECTION_NULL,tau_response_beats_projection_null,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G7,BEATS_GENERIC_BASELINES,beats_all_declared_generic_baselines,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G8,NO_SINGLE_FOLD_DOMINANCE,no_single_fold_over_60_percent_positive_gain_unless_predeclared,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,G9,SIGNED_DIAGNOSTIC_NOT_PROMOTED,signed_diagnostic_cannot_establish_survival,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,K1,KILL_IF_SUPPORT_FROM_OUTCOME,kill_if_branch_support_uses_p5c_gain_or_heldout_residuals,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,K2,KILL_IF_ANY_REQUIRED_NULL_BEATS,kill_if_required_null_beats_primary_tau_support,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EPSILON_P3_SCORING_POLICY_FREEZE_v1,K3,KILL_IF_SCORECARD_SCRIPT_CHANGED_AFTER_SCORING,kill_if_scorecard_hash_not_prefrozen,True,False,epsilon_p3_scoring_policies_frozen_no_scorecard_no_scoring_authorization
