ComponentID,ComponentClass,CurrentStatus,CurrentArtifact,EvidenceSignal,BlocksMeasurement,RequiredAction,AcceptanceCriterion,RerunRule,ClaimBoundary
PCOV_01_LOCKED_A2_INPUT,locked_prediction,READY,data/predictions/k2_source_split_a2_prior_v1.csv,p=3 rho=4 A_tau=2 locked; keep unchanged,False,none; rerun unchanged under final public covariance,"same locked K2 vector is scored with no rho>4, no kernel change, no K1 refit",locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_02_PUBLIC_SN_COVARIANCE,public_covariance_input,READY,data/public_ingest/pantheon_plus/Pantheon_SH0ES_STAT_SYS.cov,raw SN covariance available=True,False,validate indexing against the final SN residual vector,SN data vector and covariance rows/columns use the same public likelihood ordering,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_03_PUBLIC_BAO_COVARIANCE,public_covariance_input,READY,data/public_ingest/desi_dr2/desi_gaussian_bao_ALL_GCcomb_cov.txt,raw BAO covariance available=True,False,validate indexing against the final BAO residual vector,BAO data vector and covariance rows/columns use the same public likelihood ordering,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_04_SN_RESIDUAL_POLICY,likelihood_native_residual,RERUN_READY,evidence/likelihood_native_residual_definition_readiness.csv,rerun-resolved residual contracts=6/6,True,"freeze SN nuisance, marginalization, and residual definition used by the covariance transform",SN residual vector is likelihood-native rather than binned diagnostic proxy,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_05_BAO_RESIDUAL_POLICY,likelihood_native_residual,RERUN_READY,evidence/likelihood_native_residual_definition_readiness.csv,rerun-resolved residual contracts=6/6,True,"freeze BAO observable, baseline/r_d policy, and residual definition used by the covariance transform",BAO residual vector is likelihood-native rather than nearest-anchor diagnostic proxy,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_06_SOURCE_SPLIT_VECTOR,joint_target_vector,RERUN_READY,evidence/likelihood_native_rerun_candidate_vector.csv,candidate y_split ready=True; preflight usable objects=4/4; measurement usable=0/4,True,export final y_split vector from the same SN and BAO residual policies,"one coordinate-native source-split vector is shared by K1, locked A2, and all null comparators",locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_07_JOINT_COVARIANCE,joint_covariance,RERUN_READY,evidence/likelihood_native_rerun_candidate_covariance.csv,candidate C_split ready=True; positive definite=True; measurement blocker=public covariance routes remain polynomial-dominated; branch bridge is not measurement-grade,True,construct C_split from the final SN/BAO transforms and an explicit SN-BAO cross-covariance policy,"same positive-definite C_split is used for K1, locked A2, polynomial, physical, and randomized controls",locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_08_CROSS_COVARIANCE_POLICY,cross_covariance_policy,PARTIAL,evidence/a2_cross_covariance_policy_summary.csv,preflight rule=rho_cross_fixed_at_0_for_primary_preflight; PD rho range=-0.9..0.4,True,promote or replace the zero-cross preflight rule with a public/source-native policy before measurement scoring,cross-covariance policy is declared before scoring and is not selected by K2 performance,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_09_COORDINATE_NATIVE_K1,baseline,PARTIAL,data/k1/source_split_external_k1_response.csv,sn_nuisance_not_likelihood_native;coordinate_map_preflight_not_promoted;joint_covariance_not_promoted,True,"export K1 under the same coordinate map, residual vector, and C_split used by locked A2",K1 is not fitted in this note and is not exported from a different covariance scale,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_10_NULL_AND_POLY_CONTROLS,null_policy,PARTIAL,evidence/null_model_registry.csv,"The preflight scorecard is allowed and A2 is stronger than K1/unit K2, but polynomial tension keeps the result at preflight-support level.",True,"freeze final fair nulls, polynomial complexity penalties, and physical-null controls under C_split",locked A2 is compared against the registered null set with identical data vector and covariance,locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
PCOV_11_LOCKED_RERUN_SCORECARD,final_rerun,RERUN_COMPLETE,evidence/likelihood_native_rerun_candidate_scorecard.csv,status=LOCKED_A2_RERUN_CANDIDATE_MIXED_OR_WEAKENING; DeltaAIC K2-K1=2.57966055836601; DeltaAIC K2-poly=3.205863767204125; K2>K1=False; K2>poly=False,True,"rerun K1, locked A2, polynomial, physical-null, sign-randomized, and coordinate controls without changing locked A2","supportive, weakening, or strong-negative outcome is reported from the same final route",locked_A2_unchanged_no_rho_gt_4_no_K1_refit_no_target_sign_gate,public_covariance_replacement_plan_no_measurement_validation
