ProtocolID,SchemaID,SourceObject,Definition,Status,RequiredForDeltaCTau,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,PhiPerturbationFamily,parent perturbation family deltaPhi,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,BranchEquationFB,"reduced branch equation F_B(Phi,B)=0",NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ReducedBranchOperatorLBred,linearized reduced branch operator L_B^red,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,BranchDomainPolicy,declared invertible reduced branch domain and excluded null modes,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,BranchResponseRule,deltaB_star = -(L_B^red)^-1 D_Phi F_B[deltaPhi],FORMULA_DECLARED_ONLY,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ParentMorphologyMap,"M_parent(Phi,B)",NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ProjectionMorphologyMap,"P_morph(Phi,B)",NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ProjectedMorphologyDerivativePhi,D_Phi M_proj,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ProjectedMorphologyDerivativeB,D_B M_proj,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,CovarianceFunctionalDerivative,D_M C,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,ObservableCoordinateIndex,frozen coordinate/index basis for delta_C_Tau rows and columns,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,NormalizationPolicy,Frobenius/trace/sign convention before support extraction,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_DELTA_C_TAU_SOURCE_SCHEMA_v1,LeakageExclusionAudit,proof no held-out residual or v3 outcome input is used,NOT_PROVIDED,True,False,source_schema_blocks_delta_c_tau_generation_until_inputs_exist
