ProtocolID,FreezeID,FieldID,FieldValue,DeclarationStatus,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,PARENT_DOMAIN,"finite eight-coordinate tau response cell with active Phi,B,P sector",declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,MEASURE_DMU_TAU,uniform counting measure on frozen tau-coordinate packet,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,NORMALIZATION,Frobenius normalization inherited from projection-essential witness packets,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,NULL_GAUGE_MODES,"active Phi,B,P; gauge coordinate conventions; forbidden morphology/external metadata",declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,REDUCED_BRANCH_DOMAIN,branch coordinate B with reduced metric coefficient -1/2,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,REFERENCE_BACKGROUND_STABILITY,Phi=P=B=0 is stationary; active Hessian stability diagnostic status: P_TAUCOV_REFERENCE_BACKGROUND_ACTIVE_SADDLE_STABILITY_NOT_PROVEN_NO_SCORING,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,RESPONSE_ENERGY_SPLIT,"active witness interpreted as reduced response operator, not microscopic energy Hessian",declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,FULL_DYNAMICAL_STABILITY,kinetic/symplectic or reduced-constraint stability theorem not yet supplied,partial,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,ACTIVE_SECTOR,integral dmu_tau[-1/2 B^2 - 2PB - P Phi],declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,S_REST,positive no-leakage quadratic complement on inactive gauge/forbidden coordinates,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,COVARIANCE_MAP,inherited empirical bridge/covariance map; full independent D_M C not declared,partial,False,False,False,candidate_full_parent_action_packet_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_CANDIDATE_FULL_PARENT_ACTION_PACKET_v1,FORBIDDEN_INPUTS,target residuals scores alpha behavior dominant-family identity excluded,declared,False,False,False,candidate_full_parent_action_packet_no_scoring
