ProtocolID,PacketID,SourceObject,SourceClass,ProposedRoute,CurrentStatus,BlocksDeltaCTau,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,PhiPerturbationFamily,POLICY_FREEZABLE,Declare a finite parent perturbation basis before target scoring.,ROUTE_DEFINED_NOT_FROZEN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,BranchEquationFB,TAU_THEORY_BLOCKER,"Derive or declare the reduced branch equation F_B(Phi,B)=0 from the Tau parent branch model.",MISSING_CONCRETE_OPERATOR,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ReducedBranchOperatorLBred,TAU_THEORY_BLOCKER,Compute the reduced linearization L_B^red from F_B on the frozen branch domain.,MISSING_CONCRETE_OPERATOR,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,BranchDomainPolicy,POLICY_AND_THEORY,"Freeze invertible branch subspace, null-mode exclusions, and regularization convention.",ROUTE_DEFINED_NOT_FROZEN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,BranchResponseRule,FORMULA_READY,Use deltaB_star = -(L_B^red)^-1 D_Phi F_B[deltaPhi] after L_B^red exists.,FORMULA_DECLARED_OPERATOR_MISSING,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ParentMorphologyMap,TAU_THEORY_BLOCKER,"Define M_parent(Phi,B) as the Tau-side morphology variable feeding covariance.",MISSING_CONCRETE_MAP,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ProjectionMorphologyMap,TAU_THEORY_BLOCKER,"Define P_morph(Phi,B) independent of P5C v3 outcome and target residuals.",MISSING_CONCRETE_PROJECTION,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ProjectedMorphologyDerivativePhi,DERIVED_AFTER_MAPS,Differentiate M_proj with respect to Phi after M_parent and P_morph are frozen.,BLOCKED_BY_MAPS,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ProjectedMorphologyDerivativeB,DERIVED_AFTER_MAPS,Differentiate M_proj with respect to B after M_parent and P_morph are frozen.,BLOCKED_BY_MAPS,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,CovarianceFunctionalDerivative,POLICY_FREEZABLE,Freeze D_M C as a linear map from morphology response to covariance response.,ROUTE_DEFINED_NOT_FROZEN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,ObservableCoordinateIndex,POLICY_FREEZABLE,Reuse frozen observable coordinate basis only if it is declared before delta_C_Tau generation.,ROUTE_DEFINED_NOT_FROZEN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,NormalizationPolicy,POLICY_FREEZABLE,"Freeze sign, Frobenius/trace normalization, and zero-denominator policy before support extraction.",ROUTE_DEFINED_NOT_FROZEN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TAU_RESPONSE_INPUT_PACKET_v1,LeakageExclusionAudit,AUDIT_REQUIRED,"Hash inputs and prove absence of held-out residuals, v3 gain pattern, and post-score family selection.",NOT_RUN,True,False,tau_response_input_packet_no_delta_c_tau_no_scoring_authorization
