CriterionID,Status,Evidence,Interpretation,ClaimImpact,ClaimBoundary
FAMILY_SOURCE_ALLOWED,PASS,RF_PUBLIC_SOURCE_SPLIT_RECONSTRUCTION_FAMILIES allowed for K2 scoring,independent source-split family input is available,unlocks independent calibration audit,branch_scatter_independent_calibration_no_measurement_validation
BRANCH_SCATTER_PREFLIGHT_REGISTERED,PASS,branch registration status=BRANCH_SCATTER_REGISTERED_AS_PREFLIGHT_SYSTEMATIC_BRIDGE,branch-scatter route is already registered as preflight bridge,connects independent family check to registered bridge,branch_scatter_independent_calibration_no_measurement_validation
BRANCH_SCATTER_A2_COMPETITIVE,PASS,K2 best branch-scatter covariance cases=5/5,branch-scatter route itself remains K2-supportive,keeps bridge internally consistent,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_ALL_POINTS,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-8.215952382108654; DeltaAIC_A2_minus_unit=-4.334350272083348; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_LOW_DEPTH,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-2.7333499094091422; DeltaAIC_A2_minus_unit=-2.2301183804244076; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_MID_DEPTH,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-1.0531124810414094; DeltaAIC_A2_minus_unit=-0.5648071331104421; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_HIGH_DEPTH,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-4.429489991658104; DeltaAIC_A2_minus_unit=-1.5394247585484997; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_MID_HIGH_DEPTH,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-5.482602472699513; DeltaAIC_A2_minus_unit=-2.1042318916589418; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_ANTI_ALIGNED,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-6.481636202408524; DeltaAIC_A2_minus_unit=-3.6021579443217924; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
RECON_SUBSET_ANTI_ALIGNED_MID_HIGH,PASS,best=K2_SOURCE_SPLIT_A2_PRIOR_V1; DeltaAIC_A2_minus_K1=-3.748286292999382; DeltaAIC_A2_minus_unit=-1.37203956389738; A2 sign-match=1.0,locked A2 is independently favored in this reconstruction-family subset,supports branch-scatter calibration at preflight level,branch_scatter_independent_calibration_no_measurement_validation
MEASUREMENT_VALIDATION_BOUNDARY,PASS,independent calibration is still preflight and covariance-limited,does not authorize measurement-validation language,keeps paper claim bounded,branch_scatter_independent_calibration_no_measurement_validation
