Item,Value,Status,ScoringAuthorized,ClaimBoundary
ProtocolID,P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,DECLARED,False,branch_support_template_no_scoring_authorization_no_survival_claim
FreezeID,P_TAUCOV_BRANCH_SUPPORT_FREEZE_TEMPLATE_v1,TEMPLATE_ONLY,False,branch_support_template_no_scoring_authorization_no_survival_claim
BranchSupportSource,delta_C_Tau_only,REQUIRED,False,branch_support_template_no_scoring_authorization_no_survival_claim
DefaultContinuousWeight,W_branch_ij_abs_delta_C_Tau_normalized_by_total_abs_mass,DECLARED,False,branch_support_template_no_scoring_authorization_no_survival_claim
DefaultBinarySupport,Omega_branch_smallest_set_carrying_predeclared_q_branch_response_mass,DECLARED,False,branch_support_template_no_scoring_authorization_no_survival_claim
q_branch,NOT_SET,MUST_BE_FROZEN_BEFORE_SCORING,False,branch_support_template_no_scoring_authorization_no_survival_claim
ForbiddenInputP5Cv3GainPattern,forbidden,HARD_BLOCK,False,branch_support_template_no_scoring_authorization_no_survival_claim
ForbiddenInputHeldOutResiduals,forbidden,HARD_BLOCK,False,branch_support_template_no_scoring_authorization_no_survival_claim
ForbiddenInputDominantFamily,forbidden_unless_independently_derived_from_delta_C_Tau,HARD_BLOCK,False,branch_support_template_no_scoring_authorization_no_survival_claim
P5Cv3Status,P5C_V3_STRONG_LOCAL_COVARIANCE_SIGNAL_BUT_NO_GLOBAL_SURVIVAL,ANOMALY_CANDIDATE_ONLY,False,branch_support_template_no_scoring_authorization_no_survival_claim
V4KernelAuthorized,false,NOT_AUTHORIZED,False,branch_support_template_no_scoring_authorization_no_survival_claim
PTauCovScoringAuthorized,false,NOT_AUTHORIZED,False,branch_support_template_no_scoring_authorization_no_survival_claim
