ProtocolID,GateID,GateName,Requirement,RequiredForMinimalSurvival,FrozenBeforeScoring,ClaimBoundary
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G1,OOS_POLY2_INCREMENTAL_GAIN,POLY_DEG2 + M_BSTAR_36 improves OOS score over POLY_DEG2.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G2,LEAVE_ONE_FAMILY_OUT_POSITIVE,Improvement is positive in leave-one-family-out aggregate.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G3,CLOCK_BLOCK_HOLDOUT_POSITIVE,Improvement is positive in contiguous clock-block aggregate.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G4,AICC_BIC_NOT_ERASED,AICc/BIC penalty does not erase the improvement.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G5,BEATS_WRONG_CLOCK,Real M_BSTAR_36 beats WRONG_CLOCK_BSTAR.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G6,BEATS_PHASE_SHIFTED,Real M_BSTAR_36 beats PHASE_SHIFTED_BSTAR.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G7,BEATS_FAMILY_PERMUTED,Real M_BSTAR_36 beats FAMILY_PERMUTED_BSTAR.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G8,BEATS_RANDOM_SMOOTH_NULL,Real M_BSTAR_36 beats RANDOM_SMOOTH_ACTIVE_SUPPORT_NULL.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G9,AMPLITUDE_SIGN_STABLE,Amplitude sign is stable across primary folds.,True,True,backreaction_36_survival_gates_predeclared
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,G10,NO_SINGLE_FAMILY_DOMINANCE,No single family contributes more than 60% of total positive OOS delta.,True,True,backreaction_36_survival_gates_predeclared
