ProtocolID,Section,ItemID,ExtractedText,MachineAction,DirectlyExecutable,RequiresManualJudgment,BlocksExactReproduction,ClaimBoundary
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_selection_criteria,DA_CRITERION_1,Only consider expressions with reported (by cp3-bench) mean-square-error smaller than or equal to 0.0110 (in data units).,implement_mse_threshold,True,False,False,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_selection_criteria,DA_CRITERION_2,Reject all expressions that have clear and strong U or ``check-mark'' shaped first or second derivative.,manual_or_algorithmic_shape_rejection,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_selection_criteria,DA_CRITERION_3,Remove expressions that have clear oscillations in part or all of the considered redshift interval.,manual_or_algorithmic_shape_rejection,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_procedure,DA_PROCEDURE_1,"Run cp3-bench for each bootstrap sample and manually inspect the mean-square-error and d_A', d_A'' of each resulting symbolic expression. A new random seed is used for each run.",cp3_bench_bootstrap_run,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_procedure,DA_PROCEDURE_2,Retain expressions according to d_A criteria I)-III).,retain_expressions_or_export_grid,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_procedure,DA_PROCEDURE_3,Generate new data samples and repeat step 2 and 3 until 200 approved expressions are obtained.,retain_expressions_or_export_grid,True,False,False,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,d_A_procedure,DA_PROCEDURE_4,"For each expression, calculate the values of d_A, d_A' and d_A'' on a redshift grid. Calculate the median and 16th/84th percentile range of the values, sampling over all 200 expressions.",retain_expressions_or_export_grid,True,False,False,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,H_D_DR2_selection_criteria,HD_CRITERIA_SET_1,"Choose the three simplest (highest Loss) expressions from each PySR pareto front/hall-of-fame, excluding only expressions that are linear or constant. Expressions must be used even if they are clearly pathological.",choose_three_simplest_nonconstant_nonlinear_from_pysr_hof,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,H_D_DR2_selection_criteria,HD_CRITERIA_SET_2,"Choose the up to three lowest loss (highest complexity) expressions from each PySR hall-of-fame that is not pathological. We will here use ``pathological'' to mean the same clearly incorrect expressions we removed using the criteria listed in section sec:method, i.e. expressions that are oscillating, U-shaped, divergence or not defined in parts of the training region (or where their first derivative fulfills one or more of these criteria). If three functions in a given hall-of-fame fulfill the criteria, all three functions must be used. Otherwise, the number of functions (0-2) not being pathological must be selected.",choose_up_to_three_lowest_loss_nonpathological_from_pysr_hof,False,True,True,source_native_symbolic_protocol_extract_no_measurement_validation
UPSTREAM_SYMBOLIC_RECON_PROTOCOL_2604_05822,H_D_DR2_selection_criteria,HD_CRITERIA_SET_3,"For each hall-of-fame, choose the single expression minimizing the quantity \rm Loss + Penalty\times Complexity, where Loss and Complexity are provided and defined by PySR, and the Penalty can be used to vary the relative weight of Loss and complexity of the expressions. We choose a penalty of 1.0 so that Loss and complexity are weighted equally. \\",choose_single_min_loss_plus_penalty_times_complexity,True,False,False,source_native_symbolic_protocol_extract_no_measurement_validation
