AuditID,ExtractionID,ConventionID,GridIndex,z_grid,ResponseDefinition,Alpha,PreviewResponse,SourceSplitResponse,PreviewSign,TargetSign,SignMatchesTarget,SignStableTemplate,SNBAOSameSign,ScoringAllowed,Status,BlockingIssue,ClaimBoundary
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,AS_DECLARED_ALPHA_CLUMPINESS_SIGN,0,0.51,SN_standardized_minus_BAO_standardized,0.685,-0.1590373839298877,-5.101385205889281,-1,-1,True,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,INVERTED_ALPHA_CLUMPINESS_SIGN,0,0.51,SN_standardized_minus_BAO_standardized,0.685,0.1590373839298877,-5.101385205889281,1,-1,False,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,AS_DECLARED_ALPHA_CLUMPINESS_SIGN,1,0.7375,SN_standardized_minus_BAO_standardized,0.685,-0.1195344978427562,-4.042742053840544,-1,-1,True,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,INVERTED_ALPHA_CLUMPINESS_SIGN,1,0.7375,SN_standardized_minus_BAO_standardized,0.685,0.1195344978427562,-4.042742053840544,1,-1,False,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,AS_DECLARED_ALPHA_CLUMPINESS_SIGN,2,0.965,SN_standardized_minus_BAO_standardized,0.685,-0.0751779035380205,-1.0612908027787438,-1,-1,True,True,True,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,INVERTED_ALPHA_CLUMPINESS_SIGN,2,0.965,SN_standardized_minus_BAO_standardized,0.685,0.0751779035380205,-1.0612908027787438,1,-1,False,True,True,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,AS_DECLARED_ALPHA_CLUMPINESS_SIGN,3,1.1925,SN_standardized_minus_BAO_standardized,0.685,-0.028780679229061,0.1211657917854815,-1,1,False,False,True,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,INVERTED_ALPHA_CLUMPINESS_SIGN,3,1.1925,SN_standardized_minus_BAO_standardized,0.685,0.028780679229061,0.1211657917854815,1,1,True,False,True,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,AS_DECLARED_ALPHA_CLUMPINESS_SIGN,4,1.42,SN_standardized_minus_BAO_standardized,0.685,0.0179027919452116,-1.66707598793248,1,-1,False,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
ALPHA_SIGN_CONVENTION_AUDIT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,INVERTED_ALPHA_CLUMPINESS_SIGN,4,1.42,SN_standardized_minus_BAO_standardized,0.685,-0.0179027919452116,-1.66707598793248,-1,-1,True,True,False,False,SIGN_CONVENTION_AUDIT_ONLY,sign_convention_not_frozen;covariance_propagation_missing;measurement_scorecard_not_authorized,alpha_sign_convention_audit_no_measurement_validation
