FamilyID,z_i,z_j,Covariance,Source,ClaimBoundary
QR_CRITERIA_1,0.51,0.51,1.015206422387524e-06,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,0.7375,2.7981926641176846e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,0.965,-1.6381746169140615e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,1.1925,-4.6744100887397724e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,1.42,-6.883197715315827e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,1.6475,-8.540982995818818e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,1.875,-9.804326329743202e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.51,2.33,-1.1511735948310003e-06,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,0.51,2.7981926641176846e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,0.7375,7.712601115256939e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,0.965,-4.515267136325257e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,1.1925,-1.2883980765831358e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,1.42,-1.897201685089049e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,1.6475,-2.354133645751432e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,1.875,-2.7023463807472884e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.7375,2.33,-3.1729561960478735e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,0.51,-1.6381746169140615e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,0.7375,-4.515267136325257e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,0.965,2.6434191276984894e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,1.1925,7.542800939351707e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,1.42,1.1106982315885142e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,1.6475,1.3782045935387252e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,1.875,1.5820623446762088e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,0.965,2.33,1.8575762732852394e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,0.51,-4.6744100887397724e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,0.7375,-1.2883980765831358e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,0.965,7.542800939351707e-08,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,1.1925,2.1522824517132095e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,1.42,3.1692952422025825e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
QR_CRITERIA_1,1.1925,1.6475,3.932604857790245e-07,fixture_uncertainty_smoke_test_not_observational_data,source_native_uncertainty_fixture_no_measurement_validation
