ProtocolID,FreezeID,CheckID,Component,Artifact,Observed,Passed,BlocksObjectConstruction,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_J_tau,J_tau,evidence/p_taucov_tccs_jtau_anchor_candidate_matrix.csv,8x9,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_L_B_red_candidate,L_B_red_candidate,evidence/p_taucov_projection_essentiality_parent_action_hessian.csv,5x10,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_P_morph_basis,P_morph_basis,evidence/p_taucov_p4_morphology_basis.csv,4x10,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_NullComparatorPolicy,NullComparatorPolicy,evidence/p_taucov_parent_action_null_comparators.csv,10x11,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_Pi_bal,Pi_bal,evidence/p_taucov_clock_family_balance_projector_matrix.csv,1296x4,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_ParentScoreEmbedding,ParentScoreEmbedding,evidence/p_taucov_tccs_parent_score_embedding_summary.csv,1x18,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,SOURCE_EXISTS_PmorphPiPerp,PmorphPiPerp,evidence/p_taucov_tccs_pmorph_piperp_summary.csv,1x19,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,P_MORPH_OPERATOR_CONVENTION,P_morph,evidence/p_taucov_tccs_pmorph_piperp_summary.csv,P_morph convention is frozen as the parent-coordinate projector onto M/P axes,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,PI_PERP_ASSEMBLY,Pi_perp,evidence/p_taucov_tccs_pmorph_piperp_summary.csv,Pi_perp matrix is frozen as the 36-row complement to embedded M/P columns,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_TCCS_OPERATOR_ASSEMBLY_PREFLIGHT_v1,PARENT_TO_SCORE_EMBEDDING,Embedding,evidence/p_taucov_tccs_parent_score_embedding_summary.csv,target-blind parent-to-score embedding is frozen; must be used before TCCS object construction,True,False,False,tccs_operator_assembly_preflight_no_object_no_scoring
