ProtocolID,FreezeID,NullID,NullClass,Definition,Required,PrimaryDefeatRequired,TargetResidualsUsedForPolicy,ScoreOutcomeUsedForPolicy,PTauCovScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,OUTSIDE_BRANCH,localization_control,score complement of declared branch support,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,SHUFFLED_SUPPORT,support_null,shuffle branch support preserving selected-cell count,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,MORPHOLOGY_NULL,morphology_null,preserve morphology energy while destroying branch-relaxation structure,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,PROJECTION_NULL,projection_null,preserve support while breaking parent projection coupling,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,GENERIC_RANDOM_SMOOTH_PSD,generic_baseline,strongest declared random smooth PSD comparator,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,GENERIC_FAMILY_PERMUTED,generic_baseline,family-permuted branch structure,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,GENERIC_DIAGONAL,generic_baseline,diagonal variance inflation comparator,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,GENERIC_WRONG_CLOCK,generic_baseline,wrong-clock support comparator,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,GENERIC_PHASE_SHIFT,generic_baseline,phase-shift support comparator,True,True,False,False,False,parent_action_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PARENT_ACTION_NULL_COMPARATORS_FREEZE_v1,OSCILLATORY_DIAGNOSTIC,diagnostic_control,oscillatory geometry diagnostic; not eligible for survival defeat,False,False,False,False,False,parent_action_null_comparators_freeze_no_scoring
