FamilyID,z_i,z_j,Covariance,Source,ClaimBoundary
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.38,3.0798259836965687,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.51,1.7320699927973109,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.698,0.9738121866334072,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.706,0.9554232136670644,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.93,0.65104021492887,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,0.934,0.6480857605348159,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,1.317,0.5305403397519528,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,1.321,0.5303464876328824,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,1.48,0.5316470392337789,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,1.484,0.5318765220083947,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,2.33,0.7300485600428183,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.38,2.334,0.731695338057077,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.51,0.38,1.7320699927973109,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.51,0.51,1.2563912520084564,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
PROXY_REGULARIZED_200_NOT_SOURCE_NATIVE,0.51,0.698,0.957160743113383,data/physical_nulls/backreaction_reproduction/regularized_full_pysr_backreaction_200_omega_covariance.csv,source_native_schema_dry_run_proxy_not_source_native_no_measurement_validation
